Log start : Tue Dec 13 09:49:51 2011

Current Directory : e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp
09:49:55:103   [ZFileTransfer] Download file : ./GameGuard.des_new  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\GameGuard.des_new_
09:49:55:150   [ZFileTransfer] Download successfully complete.
09:49:55:150   [ZUpdate] Successfully download '.\PATCH\GameGuard.des_new_'
09:49:55:150   [ZFileTransfer] Download file : ./gdiplus.dll  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\gdiplus.dll_
09:49:55:150   [ZFileTransfer] ERROR : Server error.
09:49:55:150   [ZFileTransfer] ERROR : Failed download : ./gdiplus.dll
09:49:55:150   [ZUpdate] WARNNING : Retry patch file : .\PATCH\gdiplus.dll_ , 1 retry
09:49:55:150   [ZFileTransfer] Download file : ./gdiplus.dll  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\gdiplus.dll_
09:49:55:165   [ZFileTransfer] ERROR : Server error.
09:49:55:165   [ZFileTransfer] ERROR : Failed download : ./gdiplus.dll
09:49:55:165   [ZUpdate] ERROR : Fail to download file '.\PATCH\gdiplus.dll_'
09:49:55:165   [ZFileTransfer] Download file : ./Gunz.exe  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\Gunz.exe_
09:49:55:165   [ZFileTransfer] ERROR : Server error.
09:49:55:165   [ZFileTransfer] ERROR : Failed download : ./Gunz.exe
09:49:55:165   [ZUpdate] WARNNING : Retry patch file : .\PATCH\Gunz.exe_ , 1 retry
09:49:55:165   [ZFileTransfer] Download file : ./Gunz.exe  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\Gunz.exe_
09:49:55:181   [ZFileTransfer] ERROR : Server error.
09:49:55:181   [ZFileTransfer] ERROR : Failed download : ./Gunz.exe
09:49:55:181   [ZUpdate] ERROR : Fail to download file '.\PATCH\Gunz.exe_'
09:49:55:181   [ZFileTransfer] Download file : ./GunzLauncher.exe  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\GunzLauncher.exe_
09:49:55:197   [ZFileTransfer] ERROR : Server error.
09:49:55:197   [ZFileTransfer] ERROR : Failed download : ./GunzLauncher.exe
09:49:55:197   [ZUpdate] WARNNING : Retry patch file : .\PATCH\GunzLauncher.exe_ , 1 retry
09:49:55:197   [ZFileTransfer] Download file : ./GunzLauncher.exe  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\GunzLauncher.exe_
09:49:55:197   [ZFileTransfer] ERROR : Server error.
09:49:55:197   [ZFileTransfer] ERROR : Failed download : ./GunzLauncher.exe
09:49:55:197   [ZUpdate] ERROR : Fail to download file '.\PATCH\GunzLauncher.exe_'
09:49:55:212   [ZFileTransfer] Download file : ./GunzUS.ini  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\GunzUS.ini_
09:49:55:212   [ZFileTransfer] ERROR : Server error.
09:49:55:212   [ZFileTransfer] ERROR : Failed download : ./GunzUS.ini
09:49:55:212   [ZUpdate] WARNNING : Retry patch file : .\PATCH\GunzUS.ini_ , 1 retry
09:49:55:212   [ZFileTransfer] Download file : ./GunzUS.ini  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\GunzUS.ini_
09:49:55:228   [ZFileTransfer] ERROR : Server error.
09:49:55:228   [ZFileTransfer] ERROR : Failed download : ./GunzUS.ini
09:49:55:228   [ZUpdate] ERROR : Fail to download file '.\PATCH\GunzUS.ini_'
09:49:55:228   [ZFileTransfer] Download file : ./HanAuthForClient.dll  to  e:\gonz\2003\Stable\ZLauncher\ZLauncher_2nd\CNewApp\PATCH\HanAuthForClient.dll_
09:49:55:259   [ZFileTransfer] ERROR : Server error.
